,V_Name,Label
0,V2,record_status_code
1,V3,num_hh_srcs_0_4
5,V4,fips_state_code
56,V7,delivery_point
57,V9,dsf_season
62,V10,dsf_delivery_type
66,V11,dsf2_footnote
67,V12,county_code
68,V13,cbsa
70,V14,dma
72,V15,nielson_county_size
77,V29,censor_code
78,V30,addr_quality_code
80,V31,addr_type
84,V32,hh_verification_date
85,V35,phone_supp_src
93,V36,phone_trans_date
95,V37,fill2
96,V38,num_hh_srcs_0_27
129,V39,fill3
130,V40,number_children_hh
140,V41,adult_age_unk
148,V42,age_75_plus
156,V43,age_65_74
164,V44,age_55_64
172,V45,age_45_54
180,V46,age_35_44
188,V47,age_25_34
196,V48,age_18_24
204,V49,age_65_plus_inf
206,V50,age_45_64_inf
208,V51,age_35_44_inf
210,V52,adult_age_under_35_inf
212,V53,child_age_0_2
220,V54,child_age_3_5
228,V55,child_age_6_10
236,V56,child_age_11_15
244,V57,child_age_16_17
252,V58,fill4
253,V59,gender_2
256,V60,fill5
257,V61,birth_year
259,V62,birth_month
272,V65,member_code_2
275,V68,hh_type
291,V69,occupation 
311,V70,fill6
312,V71,mail_ord_buyer
314,V72,fill7
315,V73,veh_comb_market_value
317,V74,cars_curr_own_reg
328,V75,truck_owner
330,V76,new_veh_code
332,V77,motorcycle_owner
334,V78,rec_veh_owner
336,V79,census_tract_id
338,V80,census_tract_suffix
341,V81,block_grp_num
343,V82,census_state
395,V83,census_county
396,V84,fill8
397,V85,religion
410,V86,ethnic_group_code
425,V87,fill10
426,V88,net_worth
437,V89,net_worth_match_ind
439,V90,inc_producing_cluster
450,V91,inc_producing_match_ind
452,V92,rooftop_lat
454,V93,rooftop_long
456,V94,fill9
457,V95,refinance_ind
459,V96,home_equity_ind
461,V97,fill11
462,V98,home_sale_date
464,V99,home_sale_price_thou 
466,V100,fill12
467,V101,home_market_value
469,V102,fill13
470,V103,avail_equity
472,V104,fill14
473,V105,mortgage_amt_1
475,V106,mortgage_amt_2
477,V107,orig_mortgage_amt
479,V108,mortgage_date
481,V109,mortgage_loan_type
486,V110,mortgage_interest_rate
